origin_as,prefix_count,cv_mean_within_as,as_prefix_cv_stddev,as_prefix_cv_range,total_updates
23201,21,0.44311201243663173,0.24455455095584278,1.0317451054036368,21900
23229,11,0.6334107894708975,0.011246397504596519,0.03274338995573811,35294
23243,9,0.285708361751144,0.3832759223477867,0.9226794240610837,5679
23278,3,0.3579544701442274,0.0,0.0,2169
23314,24,0.5709602130934991,0.3080581012627297,1.0812830399306028,57188
23344,3,0.03125239384803687,0.02417351474333696,0.042276497860920706,861
23347,6,0.2887875647284978,0.32894718282272595,0.7153731600256183,32401
23352,5,0.20785297300698877,0.3180929998671534,0.7223085570092278,10205
23356,4,0.17266236229855242,0.10058848347375736,0.22557935207651356,4948
23368,4,0.01874820686540074,0.002436880304000849,0.004220800498493361,1358
23379,6,0.23207990251226404,0.5195670772579779,1.2889055407485837,4857
23393,75,0.3478681761795336,0.38836045966166116,1.3223967275149238,871437
23404,99,0.3956261587551819,0.5033941850139385,1.4660643490335767,141801
23422,10,0.5828535699522446,0.0026249631407540717,0.008300862298772027,9858
23470,10,0.1545967354907176,0.18936556066020285,0.6250020885762468,5058
23473,12,0.328200654164718,0.46137724688176945,1.1381596372791078,7162
23481,12,0.5003748769939451,0.12570454989937577,0.38025287868720326,36903
23483,8,0.6710008488892891,0.12572069328868254,0.4033731360037808,10181
23487,36,0.5072136606140042,0.20158688271130845,0.9575721852288556,53121
23497,32,0.4465426621627013,0.035366588661449,0.06961919939929656,17184
23503,6,0.04825400606522371,0.0,0.0,2286
23520,3,0.08402340263317953,0.0022877881876368486,0.003962565377942942,1173
23607,9,0.4904235347209151,0.004468969192179872,0.013406907576539617,20923
23655,98,0.15440576135082382,0.15059074599082484,0.32916323144101256,57503
23659,14,0.047311148246643245,0.003428147964077232,0.010310966961936438,3706
23664,12,0.2870323499943551,0.16124915493855743,0.3689528190312621,25283
23665,3,0.25674260819559147,0.11212785156045611,0.19421113584625121,3887
23671,9,0.4628445094659967,0.16302027092061402,0.3781336123457451,6690
23672,3,0.1631363999795172,0.1716782815974764,0.2973555062829461,946
23673,20,0.10537511834356046,0.23407726007486357,1.0808493963518093,7784104
23674,108,0.578501723959362,0.27727386860667674,1.0912962686197227,190118
23678,41,0.13483986716938598,0.03340652181048161,0.15126684437008603,10730
23679,25,0.3810720842234771,0.15641888025673237,0.5285122376037711,337284
23688,9,0.41740710500413936,0.29676295280204495,0.8705194966473621,7277
23692,4,0.6953868585600169,0.015356884539340497,0.03655046139353324,72559
23693,16,0.4311281663077455,0.3645919502054936,1.0631263464646474,32259
23695,5,0.0,0.0,0.0,1590
23696,12,0.0,0.0,0.0,2904
23699,20,0.09109485951849068,0.09683997155952169,0.2114683328013272,12485
237,3,0.0660701571499419,0.011773107077396285,0.0203916196209991,1151
23724,8,0.06637524132085726,0.018868842500629604,0.04822234594515439,3298
23732,3,0.3060071530714812,0.04575632156144425,0.08679304831105994,3287
23736,77,0.46426470603552716,0.348915282715976,1.1569932647047911,172458
23749,3,0.028096958192842945,0.0,0.0,906
23750,5,0.8697378487600279,0.24956572546613867,0.5153643202931987,11431
23752,10,0.7761646502078928,0.2678326463859139,0.8541466435264277,11489
23756,27,0.5198425158516922,0.3284238856414242,0.7212661243453673,11982
23764,6,0.24765940435638015,0.27164850754342934,0.5937290230695326,4445
23767,6,0.2888769901806303,0.2602707336134003,0.5040121083949433,1796
23770,3,0.31158363712429266,0.0,0.0,5568
23793,16,0.18182174055561312,0.2988163489024102,0.7517160594473695,15586
2381,12,0.2561506526180612,0.1483670449769586,0.5406975309573693,4651
2386,18,0.8714908268996088,0.40208070739676643,1.2274067060436011,30329
23860,10,0.461576983882238,0.3587256703878382,0.8404491207282417,7734
23881,8,0.00860004739631597,0.0033821989528795807,0.009566303259612767,3174
23884,17,0.32505176452055823,0.17403237994260057,0.7175538847809665,6550
